district,school,building,built,buildingType,hazard,asce,mitigationType,mitigation
Arlington,Stillaguamish Valley,Portable 3  - Area 1,1997,MH,Moderate,,,
Arlington,Stillaguamish Valley,Portable 4  - Area 1,2002,MH,Moderate,,,
Arlington,Stillaguamish Valley,Portable 5 - Area 1,2001,MH,Moderate,,,
Arlington,Stillaguamish Valley,Portable 6  - Area 1,1995,MH,Moderate,,,
Arlington,Stillaguamish Valley,Portable 7  - Area 1,1997,MH,Moderate,,,
Arlington,Stillaguamish Valley,Portable 8  - Area 1,1995,MH,Moderate,,,
Arlington,Stillaguamish Valley,Portable 9  - Area 1,1995,MH,Moderate,,,
Arlington,Trafton Elementary,Covered Play - Area 1,1965,W1,Low to Moderate,,,
Arlington,Trafton Elementary,Main Building - Area 1,1906,W2,Low to Moderate,,,
Arlington,Transportation Facility,Pupil Transportation - Area 1,1973,W2,Low,,,
Arlington,Weston High,Main Building - Area 1,1978,S4L,Moderate,,,
Arlington,Weston High,,,,,,,
Concrete,Administration Building,Administration - Admin,1981,RM1L,Moderate to High,,,
Concrete,Administration Building,Bus Barn - Bus,1952,RM1L,Moderate to High,,,
Concrete,Concrete High,Main Building - Main,1951,PC2M,Moderate to High,No,,
Concrete,Concrete High,Tech Building - Tech,1952,RM1L,Moderate to High,No,,
Concrete,Concrete K-6,Gym - Gym,1981,RM1L,High,No,,
Concrete,Concrete K-6,Main Building - Main,1981,RM1L,Moderate to High,No,,
Concrete,Concrete K-6,Portable B - Portable B,1980,W1,Low,No,,
Concrete,Concrete K-6,Portable C - C,1980,W1,Low,No,,
Concrete,Concrete K-6,Portable D and Headstart - D,1980,W1,Low,No,,
Concrete,Concrete K-6,,,,,,,
Everett,Cascade High,Auto Shop - Area 1,1965,RM1L,High,,,
Everett,Cascade High,Building 100 - Area 1,1961,S2L,Moderate,Yes,Structural Retrofit,Yes
Everett,Cascade High,Building 100 - Area 2,1980,S2L,Moderate,Yes,Structural Retrofit,Yes
Everett,Cascade High,Building 100 - Area 3,2001,S2L,Low,No,,
Everett,Cascade High,Building 200 - Area 1,1961,S2L,Moderate,Yes,Structural Retrofit,Yes
Everett,Cascade High,Building 200 - Area 2,1996,S2L,Moderate,Yes,Structural Retrofit,Yes
Everett,Cascade High,Building 300 - Area 1,1965,S2L,Moderate,Yes,Structural Retrofit,Yes
Everett,Cascade High,Building 300 - Area 2,2001,S2L,Low,,,
Everett,Cascade High,Building 400 - Area 1,1961,S2L,Moderate,Yes,Structural Retrofit,Yes
Everett,Cascade High,Building 400 - Area 2,1980,S2L,Moderate,Yes,Structural Retrofit,Yes
Everett,Cascade High,Building 400 - Area 3,1989,S2L,Moderate,Yes,Structural Retrofit,Yes
Everett,Cascade High,Building 400 - Area 4,2001,S2L,Low,,,
Everett,Cascade High,Building 500 - Area 1,1961,W2,Low to Moderate,,,
Everett,Cascade High,Building 500 - Area 2,1989,W2,Low,,,
Everett,Cascade High,Building 600 - Area 1,1961,S2L,Moderate,Yes,Structural Retrofit,Yes
Everett,Cascade High,Building 600 - Area 2,1981,S2L,Moderate,Yes,Structural Retrofit,Yes
Everett,Cascade High,Building 600 - Area 3,2001,S2L,Low,No,,No
Everett,Cascade High,Building 700 Gym - Area 1,1961,S2L,Moderate,Yes,Structural Retrofit,Yes
Everett,Cascade High,Building 700 Gym - Area 2,1981,S1M,Moderate,Yes,Structural Retrofit,Yes
Everett,Cascade High,Building 700 Gym - Area 3,2001,RM1L,Low,,,No
Everett,Cascade High,Building Trades - Area 1,1987,W2,Low,,,
Everett,Cascade High,Portable 1 (Football Equipment) - Area 1,1990,W1,Low,,,
Everett,Cascade High,Portable 2 - Area 1,2010,W1,Low,,,
Everett,Cascade High,Softball Field House - Area 1,2003,RM1L,Low,,,
Everett,Cedar Wood Elementary,Building A (west) - Area 1,1991,W2,Low,,,
Everett,Cedar Wood Elementary,Building B (south) - Area 1,1991,W2,Low,,,
Everett,Cedar Wood Elementary,Building C (east) - Area 1,1991,W2,Low,,,
Everett,Cedar Wood Elementary,Building D (main office) - Area 1,1991,W2,Low,,,
Everett,Cedar Wood Elementary,"Building E (gym, cafeteria) - Area 1",1991,W2,Low,,,
Everett,Cedar Wood Elementary,Covered Play - Area 1,1991,RM1L,Moderate to High,,,
Everett,Cedar Wood Elementary,Portable 1 - Area 1,1990,W1,Low,,,
Everett,Cedar Wood Elementary,Portable 2 - Area 1,2004,W1,Low,,,
Everett,Cedar Wood Elementary,Portable 3 - Area 1,2004,W1,Low,,,
Everett,Cedar Wood Elementary,Portable 4 - Area 1,2004,W1,Low,,,
Everett,Cedar Wood Elementary,Portable 5 - Area 1,2004,W1,Low,,,
Everett,Cedar Wood Elementary,Portable 6 - Area 1,2004,W1,Low,,,
Everett,Eisenhower Middle,Covered Play - Area 1,2006,RM1L,Low,,,
Everett,Eisenhower Middle,Main Building - Area 1,1971,W2,Low,,Structural Retrofit,Yes
Everett,Eisenhower Middle,Main Building - Area 2,1980,W2,Low,Yes,Structural Retrofit,Yes
Everett,Eisenhower Middle,Main Building - Area 3,2006,W2,Low,,Structural Retrofit,No
Everett,Eisenhower Middle,Portable 1 - Area 1,2004,W1,Low,,,
Everett,Eisenhower Middle,Portable 2 - Area 1,2004,W1,Low,,,
Everett,Eisenhower Middle,Portable 3 - Area 1,2004,W1,Low,,,
Everett,Eisenhower Middle,Portable 5 - Area 1,2004,W1,Low,,,
Everett,Eisenhower Middle,Portable 6 - Area 1,2004,W1,Low,,,
Everett,Emerson Elementary,Annex Building 200 - Area 1,1970,W2,Low,,,
Everett,Emerson Elementary,Covered Play - Area 1,1987,RM1L,Moderate to High,,,
Everett,Emerson Elementary,Main Building 100 - Area 1,1957,W2,Low,Yes,Structural Retrofit,Yes
Everett,Emerson Elementary,Main Building 100 - Area 2,1991,W2,Low,Yes,Structural Retrofit,Yes
Everett,Emerson Elementary,Main Building 100 - Area 3,2006,W2,Low,Yes,Structural Retrofit,Yes
Everett,Emerson Elementary,Main Building 100 - Area 4,2006,W2,Low,Yes,Replacement,Yes
Everett,Emerson Elementary,Portable 1 - Area 1,1990,W1,Low,,,
Everett,Emerson Elementary,Portable 2 - Area 1,1990,W1,Low,,,
Everett,Emerson Elementary,Portable 3 - Area 1,1990,W1,Low,,,
Everett,Emerson Elementary,Portable 4 - Area 1,1990,W1,Low,,,
Everett,Emerson Elementary,Portable 5 - Area 1,2010,W1,Low,,,
Everett,Emerson Elementary,Portable 6 - Main Area,1990,,Missing Data,,,
Everett,Emerson Elementary,portable 7 - Main Area,1993,,Missing Data,,,
Everett,Everett High,Auditorium Building 7 - Area 1,1939,C1H,High,Yes,Structural Retrofit,Yes
Everett,Everett High,Auditorium Building 7 - Area 2,1969,C1H,High,Yes,Structural Retrofit,Yes
Everett,Everett High,Auditorium Building 7 - Area 3,1982,C1H,High,Yes,Structural Retrofit,Yes
Everett,Everett High,Auditorium Building 7 - Area 4,1991,C1H,High,Yes,Structural Retrofit,Yes
Everett,Everett High,Commercial Bldg - Area 1,1915,RM1L,Low,,Structural Retrofit,Yes
Everett,Everett High,Gym - Area 3206,1969,RM1L,Low,,Structural Retrofit,Yes
Everett,Everett High,Gym - Area 3206-1,1982,RM1L,Low,,Structural Retrofit,Yes
Everett,Everett High,Gym - Area 3206-2,2014,RM1L,Low,,Structural Retrofit,Yes
Everett,Everett High,Lincoln Field Softball Complex - Area 1,2003,RM1L,Low,,,
Everett,Everett High,Little Theatre - Area 1,1924,URML,Low,Yes,Structural Retrofit,Yes
Everett,Everett High,Main Bldg/Office - Area 1,1910,URML,High,Yes,Structural Retrofit,Yes
Everett,Everett High,Main Bldg/Office - Area 2,1939,URML,High,Yes,Structural Retrofit,Yes
Everett,Everett High,Science Bldg. - Area 1,1989,S1L,Moderate,,,
Everett,Everett High,Vocation Bldg E - Area 1,1912,C1L,Moderate,Yes,,Yes
Everett,Evergreen Middle,Main Building - Area 1,1958,S2L,Moderate,,,
Everett,Evergreen Middle,Main Building - Area 2,2000,,Missing Data,,,
Everett,Evergreen Middle,Main Building - Covered Play,2000,,Missing Data,,,
Everett,Evergreen Middle,Portable 1 - Area 1,1997,W1,Low,,,
Everett,Evergreen Middle,Portable 2 - Area 1,1997,W1,Low,,,
Everett,Evergreen Middle,Portable 3-4 - Area 1,2008,W1,Low,,,
Everett,Evergreen Middle,Portable 5-6 - Area 1,2008,W1,Low,,,
Everett,Forest View Elementary,Main Building - Area 1,2007,S2L,Low,,,
Everett,Garfield Elementary,100/200 Building (admin classrooms) - Area 1,1969,W2,Low,Yes,Structural Retrofit,Yes
Everett,Garfield Elementary,100/200 Building (admin classrooms) - Area 2,1969,W2,Low,Yes,Structural Retrofit,Yes
Everett,Garfield Elementary,100/200 Building (admin classrooms) - Area 3,2008,W2,Low,Yes,Structural Retrofit,Yes
Everett,Garfield Elementary,300 Building (northwest) - Area 1,1969,W2,Low,Yes,Structural Retrofit,Yes
Everett,Garfield Elementary,400 Building (northeast) - Area 1,1969,W2,Low,Yes,Structural Retrofit,Yes
Everett,Garfield Elementary,"500 Building (cafeteria, gym) - Area 1",1946,W2,Low,Yes,Structural Retrofit,Yes
Everett,Garfield Elementary,"500 Building (cafeteria, gym) - Area 2",1969,W2,Low,Yes,Structural Retrofit,Yes
Everett,Garfield Elementary,"500 Building (cafeteria, gym) - Area 3",2008,W2,Low,,,No
Everett,Garfield Elementary,"500 Building (cafeteria, gym) - Area 4",2008,W2,Low,Yes,NonStructural Retrofit,No
Everett,Garfield Elementary,Covered Play - Area 1,1987,RM1L,Moderate to High,,,
Everett,Gateway Middle,Building A Main - Area 1,1994,W2,Low,,,
Everett,Gateway Middle,Building A Main - Area 2,2005,W2,Low,,,
Everett,Gateway Middle,Building A Main - Area 3,2005,W2,Low,,,
Everett,Gateway Middle,Building B Annex - Area 1,1994,W2,Low,,,
Everett,Gateway Middle,Building B Annex - Area 2,2005,W2,Low,,,
Everett,Gateway Middle,Building C Gym - Area 1,1994,W2,Low,,,
Everett,Gateway Middle,Building D Boiler and Electrical Room - Area 1,1994,W2,Low,,,
Everett,Gateway Middle,Building E Covered Play Shed - Area 1,1990,RM1L,Moderate to High,,,
Everett,Gateway Middle,Portable P3 - Area 1,1999,W1,Low,,,
Everett,Hawthorne Elementary,A Building (main) - Area 1,1952,W2,Low,Yes,Structural Retrofit,Yes
Everett,Hawthorne Elementary,A Building (main) - Area 2,1964,W2,Low,Yes,Structural Retrofit,Yes
Everett,Hawthorne Elementary,B Building (annex) - Area 1,1994,W2,Low,,,
Everett,Hawthorne Elementary,Covered Play - Area 1,1987,RM1L,Moderate to High,,,
Everett,Hawthorne Elementary,PIC Building (Portable) - Area 1,1995,W1,Low,,,
Everett,Heatherwood Middle,Covered Play - Area 1,1990,S2L,Moderate,,,
Everett,Heatherwood Middle,Gymnasium - Area 1,1990,S2L,Moderate,,,
Everett,Heatherwood Middle,Main Building - Area 1,1990,S2L,Moderate,,,
Everett,Heatherwood Middle,Portable 1 - Area 1,2007,W1,Low,,,
Everett,Heatherwood Middle,Portable 10 - Area 1,1990,W1,Low,,,
Everett,Heatherwood Middle,Portable 2 - Area 1,1998,W1,Low,,,
Everett,Heatherwood Middle,Portable 3 - Area 1,1990,W1,Low,,,
Everett,Heatherwood Middle,Portable 4 - Area 1,2011,W1,Low,,,
Everett,Heatherwood Middle,Portable 5 - Area 1,2011,W1,Low,,,
Everett,Heatherwood Middle,Portable 6 - Area 1,2011,W1,Low,,,
Everett,Heatherwood Middle,Portable 7 - Area 1,2011,W1,Low,,,
Everett,Heatherwood Middle,Portable 8 - Area 1,2011,W1,Low,,,
Everett,Heatherwood Middle,Portable 9 - Area 1,1990,W1,Low,,,
Everett,Henry M. Jackson High,Field Maintenance Building - Area 1,1995,RM1L,Moderate to High,,,
Everett,Henry M. Jackson High,Main Building - Area 1,1995,RM1L,Moderate to High,,,
Everett,Henry M. Jackson High,Main Building - Area 2,2005,RM1L,Low,,,
Everett,Henry M. Jackson High,Main Building - Area 3,2012,RM1L,Low,,,
Everett,Henry M. Jackson High,Portable 1 - Area 1,2010,W1,Low,,,
Everett,Henry M. Jackson High,Portable 10 - Main Area,1990,,Missing Data,,,
Everett,Henry M. Jackson High,Portable 11 - Main Area,1990,,Missing Data,,,
Everett,Henry M. Jackson High,Portable 2 - Area 1,2010,W1,Low,,,
Everett,Henry M. Jackson High,Portable 3 - Area 1,2010,W1,Low,,,
Everett,Henry M. Jackson High,Portable 4 - Area 1,2011,W1,Low,,,
Everett,Henry M. Jackson High,Portable 5 - Area 1,2004,W1,Low,,,
Everett,Henry M. Jackson High,Portable 6 - Area 1,1999,W1,Low,,,
Everett,Henry M. Jackson High,Portable 7 - Main Area,1990,,Missing Data,,,
Everett,Henry M. Jackson High,Portable 8/9 - Main Area,1999,,Missing Data,,,
Everett,Henry M. Jackson High,Restroom & Concessions - Area 1,2004,RM1L,Low,,,
Everett,Jackson Elementary,Covered Play - Area 1,1987,RM1L,Moderate to High,,,
Everett,Jackson Elementary,Main Building - Area 1,1949,W2,Low to Moderate,Yes,Structural Retrofit,Yes
Everett,Jackson Elementary,Main Building - Area 2,1967,W2,Low,Yes,Structural Retrofit,Yes
Everett,Jackson Elementary,Main Building - Area 3,1969,W2,Low,Yes,Structural Retrofit,Yes
Everett,Jackson Elementary,Portable A - Area 1,2004,W1,Low,,,
Everett,Jackson Elementary,Portable B - Area 1,2004,W1,Low,,,
Everett,Jefferson Elementary,Building 1 - Gym - Area 1,1964,W2,Low,Yes,Structural Retrofit,Yes
Everett,Jefferson Elementary,Building 2 - Cafeteria - Area 1,1964,RM1L,Moderate to High,Yes,Structural Retrofit,Yes
Everett,Jefferson Elementary,"Building 3 - Main, Admin. & Classrooms - Admin, Classrooms",2010,S2L,Low,,,
Everett,Jefferson Elementary,"Building 3 - Main, Admin. & Classrooms - Area 1 Library",1991,W2,Low,Yes,Structural Retrofit,Yes
Everett,Jefferson Elementary,"Building 3 - Main, Admin. & Classrooms - Covered Play",2010,RM1L,Low,,,
Everett,Jefferson Elementary,Covered Play - Area 1,1987,W2,Low,,,
Everett,Jefferson Elementary,Portable Building - Area 1,2007,W1,Low,,,
Everett,Lively Environmental Center,Classroom - Area 1,2009,W2,Low,,,
Everett,Lively Environmental Center,Residence - Area 1,2009,W2,Low,,,
Everett,Lively Environmental Center,Toilets - Area 1,1990,W2,Low,,,
Everett,Lowell Elementary,Covered Play - Area 1,1993,RM1L,Moderate to High,,,
Everett,Lowell Elementary,Main Building - Area 1,1951,W2,Low,,Structural Retrofit,Yes
Everett,Lowell Elementary,Main Building - Area 2,1957,W2,Low,,Structural Retrofit,Yes
Everett,Lowell Elementary,Main Building - Area 3,1993,W2,Low,,,
Everett,Lowell Elementary,Portable Bldg #1 - Area 1,1998,W1,Low,,,
Everett,Lowell Elementary,Portable Bldg #2 - Area 1,1998,W1,Low,,,
Everett,Lowell Elementary,Portable Bldg #3/4 - Main Area,2013,,Missing Data,,,
Everett,Madison Elementary,Annex Building - Area 1,1960,W2,Low,Yes,Structural Retrofit,Yes
Everett,Madison Elementary,Annex Building - Area 2,1993,W2,Low,,,
Everett,Madison Elementary,Covered Play - Area 1,1993,RM1L,Moderate to High,,,
Everett,Madison Elementary,Main Building - Area 1,1947,W2,Low,Yes,Structural Retrofit,Yes
Everett,Madison Elementary,Main Building - Area 2,1952,W2,Low,Yes,Structural Retrofit,Yes
Everett,Madison Elementary,Main Building - Area 3,1993,W2,Low,,,
Everett,Mill Creek Elementary,A Building (west) - Area 1,1989,W2,Low,,,
Everett,Mill Creek Elementary,B Building (south) - Area 1,1989,W2,Low,,,
Everett,Mill Creek Elementary,C Building (east) - Area 1,1989,W2,Low,,,
Everett,Mill Creek Elementary,Covered Play - Area 1,1989,RM1L,Moderate to High,,,
Everett,Mill Creek Elementary,"D Building (main, library) - Area 1",1989,W2,Low,,,
Everett,Mill Creek Elementary,E Building (gym) - Area 1,1989,W2,Low,,,
Everett,Mill Creek Elementary,Portable 1 - Area 1,2004,W1,Low,,,
Everett,Mill Creek Elementary,Portable 2 - Area 1,2004,W1,Low,,,
Everett,Mill Creek Elementary,Portable 3 - Area 1,2004,W1,Low,,,
Everett,Mill Creek Elementary,Portable 4 - Area 1,2009,W1,Low,,,
Everett,Mill Creek Elementary,Portable 5 (front) - Area 1,1999,W1,Low,,,
Everett,Monroe Elementary,Main Building - Area 801-1-2,2012,S2L,Low,,,
Everett,Monroe Elementary,Main Building - Area 801-3 - Cov Pla,2012,S2L,Low,,,
Everett,Monroe Elementary,Main Building - Area 801-4 - Cov Pla,2012,S2L,Low,,,
Everett,Monroe Elementary,Portable Bldg #1 - Area 1,1987,W1,Low,,,
Everett,Monroe Elementary,Portable Bldg #2 - Area 1,1990,W1,Low,,,
Everett,North Middle,Building 1 Main - Area 1,1981,RM1L,Moderate to High,,,
Everett,North Middle,Building 2 Library - Area 1,1981,RM1L,Moderate to High,,,
Everett,North Middle,Building 2 Library - Area 2,1990,RM1L,Moderate to High,,,
Everett,North Middle,Building 3 Athletics/Music - Area 1,1981,RM1L,Moderate to High,,,
Everett,North Middle,Building 3 Athletics/Music - Area 2,1981,,Missing Data,,,
Everett,North Middle,Building 3 Athletics/Music - Area 3,2008,,Low,,,
Everett,North Middle,Building 3 Athletics/Music - Area 4,2008,,Low,,,
Everett,North Middle,Covered Play - Area 1,1981,RM1L,Moderate to High,,,
Everett,North Middle,Portable 1 - Area 1,1997,W1,Low,,,
Everett,Penny Creek Elementary,Building A (east) - Area 1,2000,W2,Low,,,
Everett,Penny Creek Elementary,Building B (north) - Area 1,2000,W2,Low,,,
Everett,Penny Creek Elementary,Building C (west) - Area 1,2000,W2,Low,,,
Everett,Penny Creek Elementary,"Building D (main, library) - Area 1",2000,W2,Low,,,
Everett,Penny Creek Elementary,"Building E (gym, cafeteria) - Area 1",2000,W2,Low,,,
Everett,Penny Creek Elementary,"Building E (gym, cafeteria) - Area 2",2004,W2,Low,,,
Everett,Penny Creek Elementary,Covered Play - Area 1,2000,RM1L,Low,,,
Everett,Penny Creek Elementary,Portable 1 - Area 1,1993,W1,Low,,,
Everett,Penny Creek Elementary,Portable 2 - Area 1,1998,W1,Low,,,
Everett,Penny Creek Elementary,Portable 3 - Area 1,1998,W1,Low,,,
Everett,Penny Creek Elementary,Portable 4 - Area 1,1998,W1,Low,,,
Everett,Sequoia High,Gym Building - Area 1,1939,C2L,Moderate,Yes,Structural Retrofit,Yes
Everett,Sequoia High,Gym Building - Area 2,1955,C2L,Moderate,Yes,Structural Retrofit,Yes
Everett,Sequoia High,Gym Building - Area 3,1994,RM1L,Moderate to High,,,
Everett,Sequoia High,Main Building - Area 1,1926,C2L,Moderate,,,
Everett,Sequoia High,Main Building - Area 2,1930,C2L,Moderate,Yes,Structural Retrofit,Yes
Everett,Sequoia High,Main Building - Area 3,1994,C2L,Moderate,Yes,Structural Retrofit,Yes
Everett,Silver Firs Elementary,A Building (east) - Area 1,1989,W2,Low,,,
Everett,Silver Firs Elementary,B Building (north) - Area 1,1989,W2,Low,,,
Everett,Silver Firs Elementary,C Building (west) - Area 1,1989,W2,Low,,,
Everett,Silver Firs Elementary,Covered Play - Area 1,1989,RM2H,Moderate to High,,,
Everett,Silver Firs Elementary,"D Building (main, library) - Area 1",1989,W2,Low,,,
Everett,Silver Firs Elementary,"E Building (gym, cafeteria) - Area 1",1989,W2,Low,,,
Everett,Silver Firs Elementary,Portable 1 back - Area 1,1989,W1,Low,,,
Everett,Silver Firs Elementary,Portable 2 (front) - Main Area,1969,,Missing Data,,,
Everett,Silver Lake Elementary,Building A Main - Area 1,1959,W2,Low,Yes,Structural Retrofit,Yes
Everett,Silver Lake Elementary,Building A Main - Area 2,2009,W2,Low,Yes,Structural Retrofit,Yes
Everett,Silver Lake Elementary,Building A Main - Area 3,2009,W2,Low,Yes,Structural Retrofit,Yes
Everett,Silver Lake Elementary,Building B (west) - Area 1,1937,W2,Low to Moderate,,,
Everett,Silver Lake Elementary,Building B (west) - Area 2,1937,W2,Low to Moderate,,,
Everett,Silver Lake Elementary,Building B (west) - Area 3,2009,W2,Low,,,
Everett,Silver Lake Elementary,Building C (south) - Area 1,1959,W2,Low to Moderate,,,
Everett,Silver Lake Elementary,Covered Play - Area 1,1987,RM1L,Moderate to High,,,
Everett,Silver Lake Elementary,Portable #3 - Main Area,1993,,Missing Data,,,
Everett,Silver Lake Elementary,Portable #4 - Main Area,2010,,Missing Data,,,
Everett,Silver Lake Elementary,Portables #1/2 - Area 1,1998,W1,Low,,,
Everett,View Ridge Elementary,Covered Play - Area 1,2012,S2L,Low,,,
Everett,View Ridge Elementary,Main Building - Area 1,2012,S2L,Low,,,
Everett,Whittier Elementary,100 Building Main - Area 1,1949,W2,Low,Yes,Structural Retrofit,Yes
